	SMALL LoBM LoOP	ME1 BM1 OP2	ME1 BM1 OP3	SMALL LoBM HiOP	ME1 BM2 OP1	ME1 BM2 OP2	ME1 BM2 OP3	ME1 BM2 OP4	ME1 BM3 OP1	ME1 BM3 OP2	ME1 BM3 OP3	ME1 BM3 OP4	SMALL HiBM LoOP	ME1 BM4 OP2	ME1 BM4 OP3	SMALL HiBM HiOP	BIG LoBM LoOP	ME2 BM1 OP2	ME2 BM1 OP3	BIG LoBM HiOP	ME2 BM2 OP1	ME2 BM2 OP2	ME2 BM2 OP3	ME2 BM2 OP4	ME2 BM3 OP1	ME2 BM3 OP2	ME2 BM3 OP3	ME2 BM3 OP4	BIG HiBM LoOP	ME2 BM4 OP2	ME2 BM4 OP3	BIG HiBM HiOP
200302	-3.0135	-5.4541	-2.8406	-2.3515	-2.2340	-4.0809	-0.9649	-1.6999	-4.7534	-3.6542	-2.4570	-1.7958	-2.6499	-5.5444	-5.3136	-7.6351	1.3716	0.0230	0.8126	-2.2570	-3.2733	-2.9542	-1.4349	-5.0070	-3.8470	-2.1467	-1.1618	-0.7368	-4.4274	-2.0887	-0.8992	-5.2356
200303	1.3157	-0.4810	-0.2234	3.1827	-0.2749	0.0873	1.2462	1.6380	1.8076	1.3688	0.9542	1.2720	0.4863	1.4909	0.2682	-0.1017	-0.1844	0.2585	5.0059	1.3158	2.4237	0.7825	1.2630	0.3465	0.4335	1.4458	-1.3230	1.5260	-0.8430	-0.9563	1.0159	0.4624
200304	15.1875	9.7448	9.1577	7.4570	12.7859	9.9933	7.6868	7.4858	11.4378	7.8299	8.0570	9.1513	12.4592	9.5489	5.8543	8.9547	9.7262	9.9509	5.8176	7.4305	12.2591	6.8238	8.0252	6.7607	8.3279	11.9590	8.1322	7.6096	12.2538	5.7051	4.7182	6.9263
200305	22.0311	12.4456	7.6591	6.7926	18.3506	10.2557	6.0676	10.4326	14.2058	6.8070	7.2262	14.1615	12.2946	10.7181	8.2461	15.1602	14.5097	3.1579	1.8083	4.2069	7.0317	9.9162	5.6568	7.9111	7.9246	8.6726	5.2419	6.8537	7.2080	8.6176	11.9899	5.1090
200306	2.0901	1.9481	2.3742	3.1817	3.0481	2.1774	1.7718	2.0628	2.6331	2.5552	1.0454	4.8832	5.1611	5.6131	5.2264	10.0447	1.4222	0.7498	0.5577	1.4585	1.3830	3.6046	0.9656	2.8793	1.3498	1.5255	1.7388	2.6961	0.3583	-0.4178	1.3347	3.2070
200307	10.0796	9.4715	6.5506	4.8901	6.9022	5.5903	5.9609	5.6682	9.1551	4.9979	7.1596	2.1016	6.8956	6.1638	4.1226	-0.0294	8.4439	3.2565	2.5024	-1.4056	10.5269	4.6218	1.4730	-0.9242	2.1988	4.6560	2.1790	0.6957	1.2795	2.1199	-1.4730	3.0629
200308	5.6596	4.9459	4.2928	3.5735	7.4425	4.8248	4.3061	3.2851	8.5777	4.4689	2.3089	2.0876	6.5795	5.3169	4.0369	5.8991	2.8102	1.3647	5.0124	-0.2600	2.2535	7.2931	1.9333	1.5383	3.8755	-0.1017	0.2208	4.8418	3.2569	1.9822	5.0801	3.8580
200309	-1.3709	-4.5341	-1.5210	-1.5911	-3.0021	-1.4077	-1.6914	-0.7349	0.1380	-0.9828	-1.3195	0.9108	4.6716	0.7475	-2.2192	-1.3336	-1.6473	2.2879	-3.4915	0.1396	-3.5164	-3.2418	-1.3863	-0.9279	-1.7320	0.9841	-0.1842	-2.4190	-3.8995	0.2967	1.7551	4.8067
200310	7.8541	7.7971	8.3690	8.6086	8.4520	7.5634	7.5113	8.4492	12.2717	8.2003	9.6922	10.6473	11.9643	9.1192	10.1259	5.7313	6.8123	0.5462	4.2275	3.6636	10.3106	8.0345	8.6750	8.3116	8.0828	8.0733	5.1124	3.7887	6.4713	6.4386	6.5941	15.4502
200311	1.8168	3.0512	3.1055	4.6010	2.6378	5.1268	4.0024	2.7481	3.9917	4.7584	3.0050	3.1459	5.5754	4.1204	3.2977	9.0945	1.7522	-0.5680	-0.5659	1.3795	0.1345	1.2124	1.3484	1.5632	2.7083	0.7629	2.5715	1.4727	1.5482	2.0376	1.6316	4.1687
